neighbourhood,listing_count,median_price,mean_price,avg_availability,total_reviews_ltm,entire_apt_count,pro_host_count,implied_occupancy,pro_host_pct
Vitoria-Gasteiz,194,90.0,104.2,157.2,2008,99,64,56.9,33.0
Y̩cora,1,85.0,85.0,357.0,2,1,0,2.2,0.0
Zaldibia,3,180.0,3167.0,332.7,6,1,0,8.8,0.0
Zalla,4,74.5,76.5,185.8,62,1,0,49.1,0.0
Zamudio,1,500.0,500.0,90.0,0,0,0,75.3,0.0
Zaratamo,7,65.0,84.3,286.6,77,4,0,21.5,0.0
Zarautz,188,153.0,168.8,169.2,1512,173,59,53.6,31.4
Zeanuri,9,207.0,205.4,220.8,43,6,0,39.5,0.0
Zeberio,6,141.5,199.3,301.7,32,3,0,17.3,0.0
Zegama,4,165.0,228.8,189.2,9,4,0,48.2,0.0
Zerain,1,76.0,76.0,303.0,12,1,0,17.0,0.0
Zestoa,10,71.0,101.8,135.3,71,9,6,62.9,60.0
Zierbena,7,209.5,345.7,199.4,54,7,1,45.4,14.3
Zigoitia,10,110.0,128.7,273.8,67,7,0,25.0,0.0
Zizurkil,1,210.0,210.0,226.0,12,1,0,38.1,0.0
Zuia,18,119.0,911.7,122.1,102,16,7,66.5,38.9
Zumaia,31,115.0,125.5,163.0,312,29,3,55.3,9.7
Zumarraga,3,62.0,73.0,358.0,27,2,0,1.9,0.0
