id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,host_type,price_tier
34570802,83481447,Vizcaya,Bilbao,43.26374,-2.90933,Private room,29.0,1,263,2025-09-22,3.4,3,166,40,LB100557,29.0,Pequeño (2-3),Budget (<€75)
34838720,19842451,Vizcaya,Bilbao,43.25087,-2.92133,Entire home/apt,112.0,1,500,2025-09-28,6.46,1,160,58,E-BI-786,112.0,Individual (1),Economy (€75-120)
35141610,16126315,Vizcaya,Bilbao,43.26361,-2.93446,Entire home/apt,172.0,2,126,2025-09-26,1.66,24,105,19,ESFCTU00004802200060126100000000000000000000EBI005571,172.0,Profesional (10+),Mid-scale (€120-180)
35254364,265410560,Vizcaya,Bilbao,43.25408,-2.94675,Entire home/apt,115.0,1,111,2025-09-26,1.45,1,122,12,ESFCTU0000480270010619460000000000000000000000EBI9629,115.0,Individual (1),Economy (€75-120)
35309217,265831902,Vizcaya,Bilbao,43.2579,-2.94883,Private room,84.0,2,134,2025-09-22,1.74,1,82,44,ESHFTU00004802700085409900100000000000000000LBI003749,84.0,Individual (1),Economy (€75-120)
35329561,23028672,Vizcaya,Bilbao,43.26749,-2.92426,Entire home/apt,114.0,1,490,2025-09-22,6.38,4,335,69,ESFCTU0000480250000174450000000000000000000000EBI9386,114.0,Mediano (4-10),Economy (€75-120)
35411583,85246818,Vizcaya,Bilbao,43.26429,-2.92646,Entire home/apt,172.0,1,1,2019-07-14,0.01,47,4,0,EBI01126,172.0,Profesional (10+),Mid-scale (€120-180)
35472547,16126315,Vizcaya,Bilbao,43.25687,-2.92327,Entire home/apt,120.0,2,228,2025-09-26,3.01,24,65,34,ESFCTU000048026000296991000000000000000000000EBI10872,120.0,Profesional (10+),Economy (€75-120)
35556537,267100434,Vizcaya,Bilbao,43.2565067,-2.928715,Entire home/apt,123.0,1,359,2025-09-24,4.68,1,149,71,ESFCTU00004802700084705300000000000000000000EBI005935,123.0,Individual (1),Mid-scale (€120-180)
35557357,245109633,Vizcaya,Bilbao,43.25015,-2.92216,Entire home/apt,103.0,5,169,2025-09-14,2.21,6,160,22,ESFCTU00004802700047286600000000000000000000EBI008796,103.0,Mediano (4-10),Economy (€75-120)
35591469,190724633,Vizcaya,Bilbao,43.2567,-2.94994,Entire home/apt,152.0,2,24,2024-09-02,0.32,7,347,0,ESFCTU00004802700043098900000000000000000000EBI010201,152.0,Mediano (4-10),Mid-scale (€120-180)
36133050,62205707,Vizcaya,Bilbao,43.265,-2.9356,Private room,19.0,30,4,2023-07-31,0.05,14,241,0,No es necesaria licencia para alquileres por habitaciones superiores a 1 mes,19.0,Profesional (10+),Budget (<€75)
36167166,69923417,Vizcaya,Bilbao,43.25538,-2.92588,Entire home/apt,116.0,2,124,2025-09-18,1.63,18,138,7,TBI023,116.0,Profesional (10+),Economy (€75-120)
36195112,66030783,Vizcaya,Bilbao,43.25699,-2.91849,Entire home/apt,190.0,3,21,2024-05-06,0.28,1,138,0,EBI01158,190.0,Individual (1),Upscale (€180-300)
36296313,205080529,Vizcaya,Bilbao,43.26188,-2.89882,Private room,33.0,2,288,2025-09-02,3.8,3,144,63,LBI00390,33.0,Pequeño (2-3),Budget (<€75)
36328902,271732757,Vizcaya,Bilbao,43.25024,-2.92169,Private room,249.0,1,1,2019-08-04,0.01,4,292,0,H.BI.01233,249.0,Mediano (4-10),Upscale (€180-300)
36370693,85246818,Vizcaya,Bilbao,43.25583,-2.9136,Entire home/apt,132.0,1,19,2025-05-12,0.25,47,353,3,ESFCTU00004802500009146900000000000000000000EBI011813,132.0,Profesional (10+),Mid-scale (€120-180)
36480397,205080529,Vizcaya,Bilbao,43.25994,-2.90029,Private room,35.0,2,217,2025-09-27,2.88,3,322,54,LBI00390,35.0,Pequeño (2-3),Budget (<€75)
36481024,274287335,Vizcaya,Bilbao,43.2695,-2.93107,Entire home/apt,125.0,2,432,2025-09-17,5.71,1,96,103,ESFCTU00004802600040012100000000000000000000EBI013411,125.0,Individual (1),Mid-scale (€120-180)
36502440,265354668,Vizcaya,Bilbao,43.26005,-2.93879,Private room,64.0,1,4,2022-08-04,0.05,2,0,0,LBI00373,64.0,Pequeño (2-3),Budget (<€75)
36502524,265354668,Vizcaya,Bilbao,43.2598,-2.93764,Private room,71.0,1,5,2022-08-29,0.07,2,0,0,LBI00373,71.0,Pequeño (2-3),Budget (<€75)
36539312,271732757,Vizcaya,Bilbao,43.24956,-2.91918,Private room,191.0,1,99,2025-08-31,1.32,4,292,11,H.BI.01233,191.0,Mediano (4-10),Upscale (€180-300)
36565519,158000971,Vizcaya,Bilbao,43.25682,-2.9312,Private room,40.0,3,40,2020-09-13,0.53,1,31,0,,40.0,Individual (1),Budget (<€75)
36671021,275626450,Vizcaya,Bilbao,43.25898,-2.91393,Entire home/apt,200.0,2,177,2025-09-24,2.36,1,151,26,ESFCTU00004802500027265300000000000000000000EBI011017,200.0,Individual (1),Upscale (€180-300)
